Title,DOI,Abstract,BibTeX
"My Algorithms Have Determined You're Not Human: AI-ML, Reverse Turing-Tests, and the Disability Experience",10.1145/3308561.3353812,"The past decade has seen an exponential growth in the capabilities and deployment of artificial intelligence systems based on deep neural networks. These are visible through the speech recognition and natural language processing of Alexa/Siri/Google that structure many of our everyday interactions, and the promise of SAE Level 5 autonomous driving provided by Tesla and Waze. Aside from these shiny and visible applications of AI-ML are many other uses that are more subtle: AI-ML is now being used to screen job applicants as well as determine which web ads we are shown. And while many vendors of AI-ML technologies have promised that these tools provide for greater access and freedom from human prejudice, disabled users have found that these tools can embed and deploy newer, subtler forms of discrimination against disabled people. At their worst, AI-ML systems can deny disabled people their humanity.The explosion of AI-ML technologies in the last decade has been driven by at least three factors. First, the deep neural networks algorithms that currently drive much machine learning have been improved dramatically through the use of backpropagation [1], generative adversarial nets [2], and convolution [3], allowing for their deployment across a broad variety of datasets. Second, the cost of computing hardware (especially GPUs) has dropped dramatically while large scale cloud computing facilities and widespread fiber/ broadband/4G has provided for universal availability. Finally, large datasets have come online to aid in the training of the neural nets - for example, the image datasets provided through Google and Facebook, the large natural language datasets driving Amazon Alexa, and so forth.Deep neural networks themselves have two key features or flaws, depending on the perspective. First, they are highly dependent on the diversity of the training dataset used. Second, their internal operations when deployed are entirely opaque not only to the end-user but also to the designers of the system itself.","{'series': ""ASSETS '19"", 'location': 'Pittsburgh, PA, USA', 'keywords': 'artificial intelligence, bias, deep neural networks, disabilities, race', 'numpages': '2', 'pages': '1–2', 'booktitle': 'Proceedings of the 21st International ACM SIGACCESS Conference on Computers and Accessibility', 'abstract': 'The past decade has seen an exponential growth in the capabilities and deployment of artificial intelligence systems based on deep neural networks. These are visible through the speech recognition and natural language processing of Alexa/Siri/Google that structure many of our everyday interactions, and the promise of SAE Level 5 autonomous driving provided by Tesla and Waze. Aside from these shiny and visible applications of AI-ML are many other uses that are more subtle: AI-ML is now being used to screen job applicants as well as determine which web ads we are shown. And while many vendors of AI-ML technologies have promised that these tools provide for greater access and freedom from human prejudice, disabled users have found that these tools can embed and deploy newer, subtler forms of discrimination against disabled people. At their worst, AI-ML systems can deny disabled people their humanity.The explosion of AI-ML technologies in the last decade has been driven by at least three factors. First, the deep neural networks algorithms that currently drive much machine learning have been improved dramatically through the use of backpropagation [1], generative adversarial nets [2], and convolution [3], allowing for their deployment across a broad variety of datasets. Second, the cost of computing hardware (especially GPUs) has dropped dramatically while large scale cloud computing facilities and widespread fiber/ broadband/4G has provided for universal availability. Finally, large datasets have come online to aid in the training of the neural nets - for example, the image datasets provided through Google and Facebook, the large natural language datasets driving Amazon Alexa, and so forth.Deep neural networks themselves have two key features or flaws, depending on the perspective. First, they are highly dependent on the diversity of the training dataset used. Second, their internal operations when deployed are entirely opaque not only to the end-user but also to the designers of the system itself.', 'doi': '10.1145/3308561.3353812', 'url': 'https://doi.org/10.1145/3308561.3353812', 'address': 'New York, NY, USA', 'publisher': 'Association for Computing Machinery', 'isbn': '9781450366762', 'year': '2019', 'title': ""My Algorithms Have Determined You're Not Human: AI-ML, Reverse Turing-Tests, and the Disability Experience"", 'author': 'Nakamura, Karen', 'ENTRYTYPE': 'inproceedings', 'ID': '10.1145/3308561.3353812'}"
"Voice Telephony for Individuals with Hearing Loss: The Effects of Audio Bandwidth, Bit Rate and Packet Loss",10.1145/3308561.3353796,"This paper describes three studies conducted with a total of 114 individuals with hearing loss and 12 hearing controls, with the goal of investigating the impact of audio quality parameters on the accessibility of voice telecommunications. Three categories of parameters are covered: (1) narrowband (NB) versus wideband (WB) audio; (2) encoding audio at varying bit rates, ranging from typical rates used in today's telecom networks to the highest quality supported by these audio codecs; and (3) absence of packet loss to worst-case packet loss in VoIP telephony. With WB audio, individuals with hearing loss exhibit better speech recognition, expend less perceived mental effort, and rate speech quality higher than with NB audio. Bit rate affects speech recognition for NB audio, and speech quality ratings for both NB and WB audio. Packet loss affects all of speech recognition, mental effort, and speech quality ratings. WB versus NB audio also affects hearing individuals, especially under packet loss.","{'series': ""ASSETS '19"", 'location': 'Pittsburgh, PA, USA', 'keywords': 'audio codec, bit rate, cochlear implant, hard of hearing, hearing aid, hearing loss, narrowband audio, packet loss, telecommunications, voice telephony, wideband audio', 'numpages': '13', 'pages': '3–15', 'booktitle': 'Proceedings of the 21st International ACM SIGACCESS Conference on Computers and Accessibility', 'abstract': ""This paper describes three studies conducted with a total of 114 individuals with hearing loss and 12 hearing controls, with the goal of investigating the impact of audio quality parameters on the accessibility of voice telecommunications. Three categories of parameters are covered: (1) narrowband (NB) versus wideband (WB) audio; (2) encoding audio at varying bit rates, ranging from typical rates used in today's telecom networks to the highest quality supported by these audio codecs; and (3) absence of packet loss to worst-case packet loss in VoIP telephony. With WB audio, individuals with hearing loss exhibit better speech recognition, expend less perceived mental effort, and rate speech quality higher than with NB audio. Bit rate affects speech recognition for NB audio, and speech quality ratings for both NB and WB audio. Packet loss affects all of speech recognition, mental effort, and speech quality ratings. WB versus NB audio also affects hearing individuals, especially under packet loss."", 'doi': '10.1145/3308561.3353796', 'url': 'https://doi.org/10.1145/3308561.3353796', 'address': 'New York, NY, USA', 'publisher': 'Association for Computing Machinery', 'isbn': '9781450366762', 'year': '2019', 'title': 'Voice Telephony for Individuals with Hearing Loss: The Effects of Audio Bandwidth, Bit Rate and Packet Loss', 'author': 'Kozma-Spytek, Linda and Tucker, Paula and Vogler, Christian', 'ENTRYTYPE': 'inproceedings', 'ID': '10.1145/3308561.3353796'}"
"Sign Language Recognition, Generation, and Translation: An Interdisciplinary Perspective",10.1145/3308561.3353774,"Developing successful sign language recognition, generation, and translation systems requires expertise in a wide range of fields, including computer vision, computer graphics, natural language processing, human-computer interaction, linguistics, and Deaf culture. Despite the need for deep interdisciplinary knowledge, existing research occurs in separate disciplinary silos, and tackles separate portions of the sign language processing pipeline. This leads to three key questions: 1) What does an interdisciplinary view of the current landscape reveal? 2) What are the biggest challenges facing the field? and 3) What are the calls to action for people working in the field? To help answer these questions, we brought together a diverse group of experts for a two-day workshop. This paper presents the results of that interdisciplinary workshop, providing key background that is often overlooked by computer scientists, a review of the state-of-the-art, a set of pressing challenges, and a call to action for the research community.","{'series': ""ASSETS '19"", 'location': 'Pittsburgh, PA, USA', 'keywords': 'and generation, asl, recognition, sign language, translation', 'numpages': '16', 'pages': '16–31', 'booktitle': 'Proceedings of the 21st International ACM SIGACCESS Conference on Computers and Accessibility', 'abstract': 'Developing successful sign language recognition, generation, and translation systems requires expertise in a wide range of fields, including computer vision, computer graphics, natural language processing, human-computer interaction, linguistics, and Deaf culture. Despite the need for deep interdisciplinary knowledge, existing research occurs in separate disciplinary silos, and tackles separate portions of the sign language processing pipeline. This leads to three key questions: 1) What does an interdisciplinary view of the current landscape reveal? 2) What are the biggest challenges facing the field? and 3) What are the calls to action for people working in the field? To help answer these questions, we brought together a diverse group of experts for a two-day workshop. This paper presents the results of that interdisciplinary workshop, providing key background that is often overlooked by computer scientists, a review of the state-of-the-art, a set of pressing challenges, and a call to action for the research community.', 'doi': '10.1145/3308561.3353774', 'url': 'https://doi.org/10.1145/3308561.3353774', 'address': 'New York, NY, USA', 'publisher': 'Association for Computing Machinery', 'isbn': '9781450366762', 'year': '2019', 'title': 'Sign Language Recognition, Generation, and Translation: An Interdisciplinary Perspective', 'author': 'Bragg, Danielle and Koller, Oscar and Bellard, Mary and Berke, Larwan and Boudreault, Patrick and Braffort, Annelies and Caselli, Naomi and Huenerfauth, Matt and Kacorri, Hernisa and Verhoef, Tessa and Vogler, Christian and Ringel Morris, Meredith', 'ENTRYTYPE': 'inproceedings', 'ID': '10.1145/3308561.3353774'}"
Exploration of Automatic Speech Recognition for Deaf and Hard of Hearing Students in Higher Education Classes,10.1145/3308561.3353772,"Automatic speech recognition (ASR) programs that generate real-time speech-to-text captions can be provided as supplemental access technologies for deaf and hard of hearing (DHH) students in higher education classes. As part of a pilot program, we implemented ASR as a supplemental access service in biology, statistics, and other courses at our university. To identify the benefits and limitations of ASR as an access technology, we surveyed 26 DHH students and interviewed 8 of these students about their experiences with ASR in their mainstream classes. Participants believed that ASR was beneficial despite the errors that ASR continued to generate; however, the accuracy and readability of ASR need to improve so that students can better access spoken information through ASR. This paper reviews points for researchers to consider when designing and providing ASR as a supplemental access service in educational settings.","{'series': ""ASSETS '19"", 'location': 'Pittsburgh, PA, USA', 'keywords': 'automatic speech recognition, deaf and hard of hearing, feedback, real-time captions', 'numpages': '11', 'pages': '32–42', 'booktitle': 'Proceedings of the 21st International ACM SIGACCESS Conference on Computers and Accessibility', 'abstract': 'Automatic speech recognition (ASR) programs that generate real-time speech-to-text captions can be provided as supplemental access technologies for deaf and hard of hearing (DHH) students in higher education classes. As part of a pilot program, we implemented ASR as a supplemental access service in biology, statistics, and other courses at our university. To identify the benefits and limitations of ASR as an access technology, we surveyed 26 DHH students and interviewed 8 of these students about their experiences with ASR in their mainstream classes. Participants believed that ASR was beneficial despite the errors that ASR continued to generate; however, the accuracy and readability of ASR need to improve so that students can better access spoken information through ASR. This paper reviews points for researchers to consider when designing and providing ASR as a supplemental access service in educational settings.', 'doi': '10.1145/3308561.3353772', 'url': 'https://doi.org/10.1145/3308561.3353772', 'address': 'New York, NY, USA', 'publisher': 'Association for Computing Machinery', 'isbn': '9781450366762', 'year': '2019', 'title': 'Exploration of Automatic Speech Recognition for Deaf and Hard of Hearing Students in Higher Education Classes', 'author': 'Butler, Janine and Trager, Brian and Behm, Byron', 'ENTRYTYPE': 'inproceedings', 'ID': '10.1145/3308561.3353772'}"
Evaluating the Benefit of Highlighting Key Words in Captions for People who are Deaf or Hard of Hearing,10.1145/3308561.3353781,"Recent research has investigated automatic methods for identifying how important each word in a text is for the overall message, in the context of people who are Deaf and Hard of Hearing (DHH) viewing video with captions. We examine whether DHH users report benefits from visual highlighting of important words in video captions. In formative interview and prototype studies, users indicated a preference for underlining of 5\%-15\% of words in a caption text to indicate that they are important, and they expressed an interest for such text markup in the context of educational lecture videos. In a subsequent user study, 30 DHH participants viewed lecture videos in two forms: with and without such visual markup. Users indicated that the videos with captions containing highlighted words were easier to read and follow, with lower perceived task-load ratings, compared to the videos without highlighting. This study motivates future research on caption highlighting in online educational videos, and it provides a foundation for how to evaluate the efficacy of such systems with users.","{'series': ""ASSETS '19"", 'location': 'Pittsburgh, PA, USA', 'keywords': 'caption highlighting, captioning system, deaf and hard of hearing, feedback, text highlighting, user study', 'numpages': '13', 'pages': '43–55', 'booktitle': 'Proceedings of the 21st International ACM SIGACCESS Conference on Computers and Accessibility', 'abstract': 'Recent research has investigated automatic methods for identifying how important each word in a text is for the overall message, in the context of people who are Deaf and Hard of Hearing (DHH) viewing video with captions. We examine whether DHH users report benefits from visual highlighting of important words in video captions. In formative interview and prototype studies, users indicated a preference for underlining of 5\\%-15\\% of words in a caption text to indicate that they are important, and they expressed an interest for such text markup in the context of educational lecture videos. In a subsequent user study, 30 DHH participants viewed lecture videos in two forms: with and without such visual markup. Users indicated that the videos with captions containing highlighted words were easier to read and follow, with lower perceived task-load ratings, compared to the videos without highlighting. This study motivates future research on caption highlighting in online educational videos, and it provides a foundation for how to evaluate the efficacy of such systems with users.', 'doi': '10.1145/3308561.3353781', 'url': 'https://doi.org/10.1145/3308561.3353781', 'address': 'New York, NY, USA', 'publisher': 'Association for Computing Machinery', 'isbn': '9781450366762', 'year': '2019', 'title': 'Evaluating the Benefit of Highlighting Key Words in Captions for People who are Deaf or Hard of Hearing', 'author': 'Kafle, Sushant and Yeung, Peter and Huenerfauth, Matt', 'ENTRYTYPE': 'inproceedings', 'ID': '10.1145/3308561.3353781'}"
Effect of Automatic Sign Recognition Performance on the Usability of Video-Based Search Interfaces for Sign Language Dictionaries,10.1145/3308561.3353791,"Researchers have investigated various methods to help users search for the meaning of an unfamiliar word in American Sign Language (ASL). Some are based on sign-recognition technology, e.g. a user performs a word into a webcam and obtains a list of possible matches in the dictionary. However, developers of such technology report the performance of their systems inconsistently, and prior research has not examined the relationship between the performance of search technology and users' subjective judgements for this task. We conducted two studies using a Wizard-of-Oz prototype of a webcam-based ASL dictionary search system to investigate the relationship between the performance of such a system and user judgements. We found that in addition to the position of the desired word in a list of results, which is what is often reported in literature; the similarity of the other words in the results list also affected users' judgements of the system. We also found that metrics that incorporate the precision of the overall list correlated better with users' judgements than did metrics currently reported in prior ASL dictionary research.","{'series': ""ASSETS '19"", 'location': 'Pittsburgh, PA, USA', 'keywords': 'american sign language (asl), dictionary, search', 'numpages': '12', 'pages': '56–67', 'booktitle': 'Proceedings of the 21st International ACM SIGACCESS Conference on Computers and Accessibility', 'abstract': ""Researchers have investigated various methods to help users search for the meaning of an unfamiliar word in American Sign Language (ASL). Some are based on sign-recognition technology, e.g. a user performs a word into a webcam and obtains a list of possible matches in the dictionary. However, developers of such technology report the performance of their systems inconsistently, and prior research has not examined the relationship between the performance of search technology and users' subjective judgements for this task. We conducted two studies using a Wizard-of-Oz prototype of a webcam-based ASL dictionary search system to investigate the relationship between the performance of such a system and user judgements. We found that in addition to the position of the desired word in a list of results, which is what is often reported in literature; the similarity of the other words in the results list also affected users' judgements of the system. We also found that metrics that incorporate the precision of the overall list correlated better with users' judgements than did metrics currently reported in prior ASL dictionary research."", 'doi': '10.1145/3308561.3353791', 'url': 'https://doi.org/10.1145/3308561.3353791', 'address': 'New York, NY, USA', 'publisher': 'Association for Computing Machinery', 'isbn': '9781450366762', 'year': '2019', 'title': 'Effect of Automatic Sign Recognition Performance on the Usability of Video-Based Search Interfaces for Sign Language Dictionaries', 'author': 'Alonzo, Oliver and Glasser, Abraham and Huenerfauth, Matt', 'ENTRYTYPE': 'inproceedings', 'ID': '10.1145/3308561.3353791'}"
CaBot: Designing and Evaluating an Autonomous Navigation Robot for Blind People,10.1145/3308561.3353771,"Navigation robots have the potential to overcome some of the limitations of traditional navigation aids for blind people, specially in unfamiliar environments. In this paper, we present the design of CaBot (Carry-on roBot), an autonomous suitcase-shaped navigation robot that is able to guide blind users to a destination while avoiding obstacles on their path. We conducted a user study where ten blind users evaluated specific functionalities of CaBot, such as a vibro-tactile handle to convey directional feedback; experimented to find their comfortable walking speed; and performed navigation tasks to provide feedback about their overall experience. We found that CaBot's performance highly exceeded users' expectations, who often compared it to navigating with a guide dog or sighted guide. Users' high confidence, sense of safety, and trust on CaBot poses autonomous navigation robots as a promising solution to increase the mobility and independence of blind people, in particular in unfamiliar environments.","{'series': ""ASSETS '19"", 'location': 'Pittsburgh, PA, USA', 'keywords': 'blind navigation, guide robot, human-robot interaction, mobility, obstacle avoidance', 'numpages': '15', 'pages': '68–82', 'booktitle': 'Proceedings of the 21st International ACM SIGACCESS Conference on Computers and Accessibility', 'abstract': ""Navigation robots have the potential to overcome some of the limitations of traditional navigation aids for blind people, specially in unfamiliar environments. In this paper, we present the design of CaBot (Carry-on roBot), an autonomous suitcase-shaped navigation robot that is able to guide blind users to a destination while avoiding obstacles on their path. We conducted a user study where ten blind users evaluated specific functionalities of CaBot, such as a vibro-tactile handle to convey directional feedback; experimented to find their comfortable walking speed; and performed navigation tasks to provide feedback about their overall experience. We found that CaBot's performance highly exceeded users' expectations, who often compared it to navigating with a guide dog or sighted guide. Users' high confidence, sense of safety, and trust on CaBot poses autonomous navigation robots as a promising solution to increase the mobility and independence of blind people, in particular in unfamiliar environments."", 'doi': '10.1145/3308561.3353771', 'url': 'https://doi.org/10.1145/3308561.3353771', 'address': 'New York, NY, USA', 'publisher': 'Association for Computing Machinery', 'isbn': '9781450366762', 'year': '2019', 'title': 'CaBot: Designing and Evaluating an Autonomous Navigation Robot for Blind People', 'author': 'Guerreiro, Jo\\~{a}o and Sato, Daisuke and Asakawa, Saki and Dong, Huixu and Kitani, Kris M. and Asakawa, Chieko', 'ENTRYTYPE': 'inproceedings', 'ID': '10.1145/3308561.3353771'}"
Revisiting Blind Photography in the Context of Teachable Object Recognizers,10.1145/3308561.3353799,"For people with visual impairments, photography is essential in identifying objects through remote sighted help and image recognition apps. This is especially the case for teachable object recognizers, where recognition models are trained on user's photos. Here, we propose real-time feedback for communicating the location of an object of interest in the camera frame. Our audio-haptic feedback is powered by a deep learning model that estimates the object center location based on its proximity to the user's hand. To evaluate our approach, we conducted a user study in the lab, where participants with visual impairments (N=9) used our feedback to train and test their object recognizer in vanilla and cluttered environments. We found that very few photos did not include the object (2\% in the vanilla and 8\% in the cluttered) and the recognition performance was promising even for participants with no prior camera experience. Participants tended to trust the feedback even though they know it can be wrong. Our cluster analysis indicates that better feedback is associated with photos that include the entire object. Our results provide insights into factors that can degrade feedback and recognition performance in teachable interfaces.","{'series': ""ASSETS '19"", 'location': 'Pittsburgh, PA, USA', 'keywords': 'hand, object recognition, sonification, visual impairments', 'numpages': '13', 'pages': '83–95', 'booktitle': 'Proceedings of the 21st International ACM SIGACCESS Conference on Computers and Accessibility', 'abstract': ""For people with visual impairments, photography is essential in identifying objects through remote sighted help and image recognition apps. This is especially the case for teachable object recognizers, where recognition models are trained on user's photos. Here, we propose real-time feedback for communicating the location of an object of interest in the camera frame. Our audio-haptic feedback is powered by a deep learning model that estimates the object center location based on its proximity to the user's hand. To evaluate our approach, we conducted a user study in the lab, where participants with visual impairments (N=9) used our feedback to train and test their object recognizer in vanilla and cluttered environments. We found that very few photos did not include the object (2\\% in the vanilla and 8\\% in the cluttered) and the recognition performance was promising even for participants with no prior camera experience. Participants tended to trust the feedback even though they know it can be wrong. Our cluster analysis indicates that better feedback is associated with photos that include the entire object. Our results provide insights into factors that can degrade feedback and recognition performance in teachable interfaces."", 'doi': '10.1145/3308561.3353799', 'url': 'https://doi.org/10.1145/3308561.3353799', 'address': 'New York, NY, USA', 'publisher': 'Association for Computing Machinery', 'isbn': '9781450366762', 'year': '2019', 'title': 'Revisiting Blind Photography in the Context of Teachable Object Recognizers', 'author': 'Lee, Kyungjun and Hong, Jonggi and Pimento, Simone and Jarjue, Ebrima and Kacorri, Hernisa', 'ENTRYTYPE': 'inproceedings', 'ID': '10.1145/3308561.3353799'}"
DarkReader: Bridging the Gap Between Perception and Reality of Power Consumption in Smartphones for Blind Users,10.1145/3308561.3353806,"This paper presents a user study with 10 blind participants to understand their perception of power consumption in smartphones. We found that a widely used power saving mechanism for smartphones--pressing the power button to put the smartphone to sleep--has a serious usability issue for blind screen reader users. Among other findings, our study also unearthed several usage patterns and misconceptions of blind users that contribute to excessive battery drainage. Informed by the first user study, this paper proposes DarkReader, a screen reader developed in Android that bridges users' perception of power consumption to reality. DarkReader darkens the screen by truly turning it off, but allows users to interact with their smartphones. A second user study with 10 blind participants shows that participants perceived no difference in completion times in performing routine tasks using DarkReader and default screen reader. Yet DarkReader saves 24\% to 52\% power depending on tasks and screen brightness.","{'series': ""ASSETS '19"", 'location': 'Pittsburgh, PA, USA', 'keywords': 'android, battery, blind, brightness, curtain mode, ios, low-power, privacy, screen, screen readers, shoulder-surfing, talkback, vision impairment', 'numpages': '9', 'pages': '96–104', 'booktitle': 'Proceedings of the 21st International ACM SIGACCESS Conference on Computers and Accessibility', 'abstract': ""This paper presents a user study with 10 blind participants to understand their perception of power consumption in smartphones. We found that a widely used power saving mechanism for smartphones--pressing the power button to put the smartphone to sleep--has a serious usability issue for blind screen reader users. Among other findings, our study also unearthed several usage patterns and misconceptions of blind users that contribute to excessive battery drainage. Informed by the first user study, this paper proposes DarkReader, a screen reader developed in Android that bridges users' perception of power consumption to reality. DarkReader darkens the screen by truly turning it off, but allows users to interact with their smartphones. A second user study with 10 blind participants shows that participants perceived no difference in completion times in performing routine tasks using DarkReader and default screen reader. Yet DarkReader saves 24\\% to 52\\% power depending on tasks and screen brightness."", 'doi': '10.1145/3308561.3353806', 'url': 'https://doi.org/10.1145/3308561.3353806', 'address': 'New York, NY, USA', 'publisher': 'Association for Computing Machinery', 'isbn': '9781450366762', 'year': '2019', 'title': 'DarkReader: Bridging the Gap Between Perception and Reality of Power Consumption in Smartphones for Blind Users', 'author': 'Xu, Jian and Billah, Syed Masum and Shilkrot, Roy and Balasubramanian, Aruna', 'ENTRYTYPE': 'inproceedings', 'ID': '10.1145/3308561.3353806'}"
"Disability, ICT and eLearning Platforms: Faculty-Facing Embedded Work Tools in Learning Management Systems",10.1145/3308561.3355620,"This paper contributes to the current discussion in the field of human-computer interaction design (HCI) on the accessibility and design of eLearning tools embedded in the online platforms for higher education. Presenting the preliminary results of a longitudinal study of the accessibility of the faculty-facing pages of Canvas learning management system, it aims at drawing the attention of designers, developers, and manufacturers to the barriers erected by the ableist LMS designs for disabled faculty. The paper asks for improvements in design processes by embracing participatory design methods and by paying attention to the recommendations included in this paper.","{'series': ""ASSETS '19"", 'location': 'Pittsburgh, PA, USA', 'keywords': 'accessibility of faculty-facing canvas pages, accessibility of learning management systems (lms), accessibility problems in speedgrader, design of accessible e-platforms, empirical studies in hci, human-computer interaction design (hci), interaction techniques, participatory design, sensory substitution', 'numpages': '7', 'pages': '105–111', 'booktitle': 'Proceedings of the 21st International ACM SIGACCESS Conference on Computers and Accessibility', 'abstract': 'This paper contributes to the current discussion in the field of human-computer interaction design (HCI) on the accessibility and design of eLearning tools embedded in the online platforms for higher education. Presenting the preliminary results of a longitudinal study of the accessibility of the faculty-facing pages of Canvas learning management system, it aims at drawing the attention of designers, developers, and manufacturers to the barriers erected by the ableist LMS designs for disabled faculty. The paper asks for improvements in design processes by embracing participatory design methods and by paying attention to the recommendations included in this paper.', 'doi': '10.1145/3308561.3355620', 'url': 'https://doi.org/10.1145/3308561.3355620', 'address': 'New York, NY, USA', 'publisher': 'Association for Computing Machinery', 'isbn': '9781450366762', 'year': '2019', 'title': 'Disability, ICT and eLearning Platforms: Faculty-Facing Embedded Work Tools in Learning Management Systems', 'author': 'Oswal, Sushil K.', 'ENTRYTYPE': 'inproceedings', 'ID': '10.1145/3308561.3355620'}"
