Title,DOI,Abstract,BibTeX
Session details: Motor input assistance,10.1145/3245625,Abstract not available,"{'series': ""Assets '06"", 'location': 'Portland, Oregon, USA', 'booktitle': 'Proceedings of the 8th International ACM SIGACCESS Conference on Computers and Accessibility', 'doi': '10.1145/3245625', 'url': 'https://doi.org/10.1145/3245625', 'address': 'New York, NY, USA', 'publisher': 'Association for Computing Machinery', 'isbn': '1595932909', 'year': '2006', 'title': 'Session details: Motor input assistance', 'author': 'Yesilada, Y.', 'ENTRYTYPE': 'inproceedings', 'ID': '10.1145/3245625'}"
From letters to words: efficient stroke-based word completion for trackball text entry,10.1145/1168987.1168990,"We present a major extension to our previous work on Trackball EdgeWrite--a unistroke text entry method for trackballs--by taking it from a character-level technique to a word-level one. Our design is called stroke-based word completion, and it enables efficient word selection as part of the stroke-making process. Unlike most word completion designs, which require users to select words from a list, our technique allows users to select words by performing a fluid crossing gesture. Our theoretical model shows this word-level design to be 45.0\% faster than our prior model for character-only strokes. A study with a subject with spinal cord injury comparing Trackball EdgeWrite to the onscreen keyboard WiViK, both using word prediction and completion, shows that Trackball EdgeWrite is competitive with WiViK in speed (12.09 vs. 11.82 WPM) and accuracy (3.95\% vs. 2.21\% total errors), but less visually tedious and ultimately preferred. The results also show that word-level Trackball EdgeWrite is 46.5\% faster and 36.7\% more accurate than our subject's prior peak performance with character-level Trackball EdgeWrite, and 75.2\% faster and 40.2\% more accurate than his prior peak performance with his preferred on-screen keyboard. An additional evaluation of the same subject over a two-month field deployment shows a 43.9\% reduction in unistrokes due to strokebased word completion in Trackball EdgeWrite.","{'series': ""Assets '06"", 'location': 'Portland, Oregon, USA', 'keywords': ""EdgeWrite, Fitts' law, Hick-Hyman law, WiViK, Zipf's law, gestures, goal crossing, steering law, text input, trackballs, unistrokes, word prediction and completion, word-level text entry"", 'numpages': '8', 'pages': '2–9', 'booktitle': 'Proceedings of the 8th International ACM SIGACCESS Conference on Computers and Accessibility', 'abstract': ""We present a major extension to our previous work on Trackball EdgeWrite--a unistroke text entry method for trackballs--by taking it from a character-level technique to a word-level one. Our design is called stroke-based word completion, and it enables efficient word selection as part of the stroke-making process. Unlike most word completion designs, which require users to select words from a list, our technique allows users to select words by performing a fluid crossing gesture. Our theoretical model shows this word-level design to be 45.0\\% faster than our prior model for character-only strokes. A study with a subject with spinal cord injury comparing Trackball EdgeWrite to the onscreen keyboard WiViK, both using word prediction and completion, shows that Trackball EdgeWrite is competitive with WiViK in speed (12.09 vs. 11.82 WPM) and accuracy (3.95\\% vs. 2.21\\% total errors), but less visually tedious and ultimately preferred. The results also show that word-level Trackball EdgeWrite is 46.5\\% faster and 36.7\\% more accurate than our subject's prior peak performance with character-level Trackball EdgeWrite, and 75.2\\% faster and 40.2\\% more accurate than his prior peak performance with his preferred on-screen keyboard. An additional evaluation of the same subject over a two-month field deployment shows a 43.9\\% reduction in unistrokes due to strokebased word completion in Trackball EdgeWrite."", 'doi': '10.1145/1168987.1168990', 'url': 'https://doi.org/10.1145/1168987.1168990', 'address': 'New York, NY, USA', 'publisher': 'Association for Computing Machinery', 'isbn': '1595932909', 'year': '2006', 'title': 'From letters to words: efficient stroke-based word completion for trackball text entry', 'author': 'Wobbrock, Jacob O. and Myers, Brad A.', 'ENTRYTYPE': 'inproceedings', 'ID': '10.1145/1168987.1168990'}"
Alternative text entry using different input methods,10.1145/1168987.1168991,"This paper deals with PC-based alternative (i.e., keyboardfree) text entry and the issues related to emulating keystrokes with only a limited number of input signals. The previously introduced HaMCoS tool tries to enable someone who cannot use the hands to enter text almost as fast as someone exclusively using a manual mouse. To achieve this rather ambitious goal, HaMCoS provides two different (but combinable) solutions. On the one hand, word completion is offered as a shortcut technique. On the other hand, in addition to a mere on-screen keyboard, a completely new application has been implemented where selecting characters is somehow similar to entering Morse code (but with four 'bits' instead of dots and dashes only). In order to show the effect of these measures, the times needed to copy a moderately long text in various circumstances are reported.","{'series': ""Assets '06"", 'location': 'Portland, Oregon, USA', 'keywords': 'BCI, bio-signals, hands-free operation, human-computer interaction, keyboard-free text entry, morse code, muscle control, single-switch, word completion', 'numpages': '8', 'pages': '10–17', 'booktitle': 'Proceedings of the 8th International ACM SIGACCESS Conference on Computers and Accessibility', 'abstract': ""This paper deals with PC-based alternative (i.e., keyboardfree) text entry and the issues related to emulating keystrokes with only a limited number of input signals. The previously introduced HaMCoS tool tries to enable someone who cannot use the hands to enter text almost as fast as someone exclusively using a manual mouse. To achieve this rather ambitious goal, HaMCoS provides two different (but combinable) solutions. On the one hand, word completion is offered as a shortcut technique. On the other hand, in addition to a mere on-screen keyboard, a completely new application has been implemented where selecting characters is somehow similar to entering Morse code (but with four 'bits' instead of dots and dashes only). In order to show the effect of these measures, the times needed to copy a moderately long text in various circumstances are reported."", 'doi': '10.1145/1168987.1168991', 'url': 'https://doi.org/10.1145/1168987.1168991', 'address': 'New York, NY, USA', 'publisher': 'Association for Computing Machinery', 'isbn': '1595932909', 'year': '2006', 'title': 'Alternative text entry using different input methods', 'author': 'Felzer, Torsten and Nordmann, Rainer', 'ENTRYTYPE': 'inproceedings', 'ID': '10.1145/1168987.1168991'}"
Indirect text entry using one or two keys,10.1145/1168987.1168992,"This paper introduces a new descriptive model for indirect text composition facilities that is based on the notion of a containment hierarchy. This paper also demonstrates a novel, computer-aided technique for the design of indirect text selection interfaces -- one in which Huffman coding is used for the derivation of the containment hierarchy. This approach guarantees the derivation of optimal containment hierarchies, insofar as mean encoding length. This paper describes an empirical study of two two-key indirect text entry variants and compares them to one another and to the predictive model. The intended application of these techniques is the design of improved indirect text entry facilities for the users of AAC systems.","{'series': ""Assets '06"", 'location': 'Portland, Oregon, USA', 'keywords': 'augmentative and alternative communication (AAC), indirect text entry, information theory, interface evaluation, interventions for communication disorders, scanning, speech generating devices (SGD), voice output communication aids (VOCA)', 'numpages': '8', 'pages': '18–25', 'booktitle': 'Proceedings of the 8th International ACM SIGACCESS Conference on Computers and Accessibility', 'abstract': 'This paper introduces a new descriptive model for indirect text composition facilities that is based on the notion of a containment hierarchy. This paper also demonstrates a novel, computer-aided technique for the design of indirect text selection interfaces -- one in which Huffman coding is used for the derivation of the containment hierarchy. This approach guarantees the derivation of optimal containment hierarchies, insofar as mean encoding length. This paper describes an empirical study of two two-key indirect text entry variants and compares them to one another and to the predictive model. The intended application of these techniques is the design of improved indirect text entry facilities for the users of AAC systems.', 'doi': '10.1145/1168987.1168992', 'url': 'https://doi.org/10.1145/1168987.1168992', 'address': 'New York, NY, USA', 'publisher': 'Association for Computing Machinery', 'isbn': '1595932909', 'year': '2006', 'title': 'Indirect text entry using one or two keys', 'author': 'Baljko, Melanie and Tam, Andrew', 'ENTRYTYPE': 'inproceedings', 'ID': '10.1145/1168987.1168992'}"
Developing steady clicks: a method of cursor assistance for people with motor impairments,10.1145/1168987.1168993,"Slipping while clicking and accidental clicks are a source of errors for mouse users with motor impairments. The Steady Clicks assistance feature suppresses these errors by freezing the cursor during mouse clicks, preventing overlapping button presses and suppressing clicks made while the mouse is moving at a high velocity. Evaluation with eleven target users found that Steady Clicks enabled participants to select targets using significantly fewer attempts. Overall task performance times were significantly improved for the five participants with the highest slip rates. Blocking of overlapping and high velocity clicks also shows promise as an error filter. Nine participants preferred Steady Clicks to the unassisted condition. If used in conjunction with existing techniques for cursor positioning, all of the major sources of clicking errors observed in empirical studies would be addressed, enabling faster and more effective mouse use for those who currently struggle with the standard mouse.","{'series': ""Assets '06"", 'location': 'Portland, Oregon, USA', 'keywords': 'clicking, clicking errors, disability, mouse, pointing and selection tasks, target acquisition, user input', 'numpages': '8', 'pages': '26–33', 'booktitle': 'Proceedings of the 8th International ACM SIGACCESS Conference on Computers and Accessibility', 'abstract': 'Slipping while clicking and accidental clicks are a source of errors for mouse users with motor impairments. The Steady Clicks assistance feature suppresses these errors by freezing the cursor during mouse clicks, preventing overlapping button presses and suppressing clicks made while the mouse is moving at a high velocity. Evaluation with eleven target users found that Steady Clicks enabled participants to select targets using significantly fewer attempts. Overall task performance times were significantly improved for the five participants with the highest slip rates. Blocking of overlapping and high velocity clicks also shows promise as an error filter. Nine participants preferred Steady Clicks to the unassisted condition. If used in conjunction with existing techniques for cursor positioning, all of the major sources of clicking errors observed in empirical studies would be addressed, enabling faster and more effective mouse use for those who currently struggle with the standard mouse.', 'doi': '10.1145/1168987.1168993', 'url': 'https://doi.org/10.1145/1168987.1168993', 'address': 'New York, NY, USA', 'publisher': 'Association for Computing Machinery', 'isbn': '1595932909', 'year': '2006', 'title': 'Developing steady clicks: a method of cursor assistance for people with motor impairments', 'author': 'Trewin, Shari and Keates, Simeon and Moffatt, Karyn', 'ENTRYTYPE': 'inproceedings', 'ID': '10.1145/1168987.1168993'}"
Session details: Vision,10.1145/3245626,Abstract not available,"{'series': ""Assets '06"", 'location': 'Portland, Oregon, USA', 'booktitle': 'Proceedings of the 8th International ACM SIGACCESS Conference on Computers and Accessibility', 'doi': '10.1145/3245626', 'url': 'https://doi.org/10.1145/3245626', 'address': 'New York, NY, USA', 'publisher': 'Association for Computing Machinery', 'isbn': '1595932909', 'year': '2006', 'title': 'Session details: Vision', 'author': 'Pontelli, E.', 'ENTRYTYPE': 'inproceedings', 'ID': '10.1145/3245626'}"
A multi-domain approach for enhancing text display for users with visual aberrations,10.1145/1168987.1168995,"In this paper, we describe a multi-domain approach for enhancing text displayed on a computer screen for users with visual aberrations. This research is based on a priori knowledge of the user's visual aberration, as measured by a wavefront analyzer. With this information it is possible to generate text that, when displayed to this user, will counteract his/her visual aberration. The method described in this paper advances the development of techniques for providing such compensation by integrating spatial information in the image as a means to eliminate some of the shortcomings inherent in using display devices such as monitors or LCD panels.","{'series': ""Assets '06"", 'location': 'Portland, Oregon, USA', 'keywords': 'deconvolution, pre-compensation visual aberration, spatial processing, wavefront aberration function, wavefront analysis', 'numpages': '6', 'pages': '34–39', 'booktitle': 'Proceedings of the 8th International ACM SIGACCESS Conference on Computers and Accessibility', 'abstract': ""In this paper, we describe a multi-domain approach for enhancing text displayed on a computer screen for users with visual aberrations. This research is based on a priori knowledge of the user's visual aberration, as measured by a wavefront analyzer. With this information it is possible to generate text that, when displayed to this user, will counteract his/her visual aberration. The method described in this paper advances the development of techniques for providing such compensation by integrating spatial information in the image as a means to eliminate some of the shortcomings inherent in using display devices such as monitors or LCD panels."", 'doi': '10.1145/1168987.1168995', 'url': 'https://doi.org/10.1145/1168987.1168995', 'address': 'New York, NY, USA', 'publisher': 'Association for Computing Machinery', 'isbn': '1595932909', 'year': '2006', 'title': 'A multi-domain approach for enhancing text display for users with visual aberrations', 'author': 'Alonso, Miguel and Barreto, Armando and Jacko, Julie A. and Adjouadi, Malek', 'ENTRYTYPE': 'inproceedings', 'ID': '10.1145/1168987.1168995'}"
Accommodating color blind computer users,10.1145/1168987.1168996,"Important visual information often disappears when color documents are viewed by color blind people. The algorithm introduced here maps colors using the World Wide Web Consortium evaluation criteria so that detail is preserved for color blind viewers, especially dichromats. The algorithm has four parts: 1) select a representative set of colors from the source document; 2) compute target color distances using color and brightness differences; 3) solve an optimization step that preserves the target distances for a particular class of color blind viewer; and 4) interpolate the mapped colors across the remaining colors in the document. We demonstrate the efficacy of our method using simulations and critique our method in the context of earlier work.","{'series': ""Assets '06"", 'location': 'Portland, Oregon, USA', 'keywords': 'accessibility, assistive technology, color vision deficiency', 'numpages': '8', 'pages': '40–47', 'booktitle': 'Proceedings of the 8th International ACM SIGACCESS Conference on Computers and Accessibility', 'abstract': 'Important visual information often disappears when color documents are viewed by color blind people. The algorithm introduced here maps colors using the World Wide Web Consortium evaluation criteria so that detail is preserved for color blind viewers, especially dichromats. The algorithm has four parts: 1) select a representative set of colors from the source document; 2) compute target color distances using color and brightness differences; 3) solve an optimization step that preserves the target distances for a particular class of color blind viewer; and 4) interpolate the mapped colors across the remaining colors in the document. We demonstrate the efficacy of our method using simulations and critique our method in the context of earlier work.', 'doi': '10.1145/1168987.1168996', 'url': 'https://doi.org/10.1145/1168987.1168996', 'address': 'New York, NY, USA', 'publisher': 'Association for Computing Machinery', 'isbn': '1595932909', 'year': '2006', 'title': 'Accommodating color blind computer users', 'author': 'Jefferson, Luke and Harvey, Richard', 'ENTRYTYPE': 'inproceedings', 'ID': '10.1145/1168987.1168996'}"
Lambda: a multimodal approach to making mathematics accessible to blind students,10.1145/1168987.1168997,"The study of mathematics is all but precluded to most blind students because of the reliance on visual notations. The Lambda System is an attempt to overcome this barrier to access through the development of a linear mathematical notation which can be manipulated by a multimodal mathematical editor. This provides access through braille, synthetic speech and a visual display. Initial results from a longitudinal study with prospective users are encouraging.","{'series': ""Assets '06"", 'location': 'Portland, Oregon, USA', 'keywords': 'MathML, blind students, braille, mathematics education, synthetic speech', 'numpages': '7', 'pages': '48–54', 'booktitle': 'Proceedings of the 8th International ACM SIGACCESS Conference on Computers and Accessibility', 'abstract': 'The study of mathematics is all but precluded to most blind students because of the reliance on visual notations. The Lambda System is an attempt to overcome this barrier to access through the development of a linear mathematical notation which can be manipulated by a multimodal mathematical editor. This provides access through braille, synthetic speech and a visual display. Initial results from a longitudinal study with prospective users are encouraging.', 'doi': '10.1145/1168987.1168997', 'url': 'https://doi.org/10.1145/1168987.1168997', 'address': 'New York, NY, USA', 'publisher': 'Association for Computing Machinery', 'isbn': '1595932909', 'year': '2006', 'title': 'Lambda: a multimodal approach to making mathematics accessible to blind students', 'author': 'Edwards, Alistair D N and McCartney, Heather and Fogarolo, Flavio', 'ENTRYTYPE': 'inproceedings', 'ID': '10.1145/1168987.1168997'}"
Measuring website usability for visually impaired people-a modified GOMS analysis,10.1145/1168987.1168998,"Web designers regularly wonder which version of a design would suit best their target groups' needs. This becomes even more complicated if the design is to comply with accessibility rules. This paper describes an interaction model of blind users' interaction strategies. This model is based on GOMS (Goals, Operators, Methods, Selection rules) and can be used to measure aspects of website usability for blind users. The model evolved from findings of user observations and field studies. It can be applied to specific layouts in order to find the 'best' alternative. 'Classic' GOMS models lack functions which are necessary for the presented GOMS model. Thus, new structures to extend the classic GOMS notation are proposed. Finally, an example GOMS analysis is run on a modified version of the ASSETS '06 web page.","{'series': ""Assets '06"", 'location': 'Portland, Oregon, USA', 'keywords': 'GOMS, accessibility, blind users, braille, evaluation, screen reader, speech, usability, visually impaired users', 'numpages': '8', 'pages': '55–62', 'booktitle': 'Proceedings of the 8th International ACM SIGACCESS Conference on Computers and Accessibility', 'abstract': ""Web designers regularly wonder which version of a design would suit best their target groups' needs. This becomes even more complicated if the design is to comply with accessibility rules. This paper describes an interaction model of blind users' interaction strategies. This model is based on GOMS (Goals, Operators, Methods, Selection rules) and can be used to measure aspects of website usability for blind users. The model evolved from findings of user observations and field studies. It can be applied to specific layouts in order to find the 'best' alternative. 'Classic' GOMS models lack functions which are necessary for the presented GOMS model. Thus, new structures to extend the classic GOMS notation are proposed. Finally, an example GOMS analysis is run on a modified version of the ASSETS '06 web page."", 'doi': '10.1145/1168987.1168998', 'url': 'https://doi.org/10.1145/1168987.1168998', 'address': 'New York, NY, USA', 'publisher': 'Association for Computing Machinery', 'isbn': '1595932909', 'year': '2006', 'title': 'Measuring website usability for visually impaired people-a modified GOMS analysis', 'author': 'Tonn-Eichst\\""{a}dt, Henrik', 'ENTRYTYPE': 'inproceedings', 'ID': '10.1145/1168987.1168998'}"
