Title,DOI,Abstract,BibTeX
Session details: Keynote address,10.1145/3252136,Abstract not available,"{'series': ""ASSETS '10"", 'location': 'Orlando, Florida, USA', 'booktitle': 'Proceedings of the 12th International ACM SIGACCESS Conference on Computers and Accessibility', 'doi': '10.1145/3252136', 'url': 'https://doi.org/10.1145/3252136', 'address': 'New York, NY, USA', 'publisher': 'Association for Computing Machinery', 'isbn': '9781605588810', 'year': '2010', 'title': 'Session details: Keynote address', 'author': 'Hanson, Vicki L.', 'ENTRYTYPE': 'inproceedings', 'ID': '10.1145/3252136'}"
The future of assistive technologies: a time of promise and apprehension,10.1145/1878803.1878805,"Continual advances in the capabilities of both assistive and mainstream technologies offers great potential for meeting the needs people with disabilities. However, there are significant potential obstacles to actually realizing the benefits of these advances for people with disabilities.","{'series': ""ASSETS '10"", 'location': 'Orlando, Florida, USA', 'keywords': 'assistive technologies, human-machine interfaces', 'numpages': '2', 'pages': '1–2', 'booktitle': 'Proceedings of the 12th International ACM SIGACCESS Conference on Computers and Accessibility', 'abstract': 'Continual advances in the capabilities of both assistive and mainstream technologies offers great potential for meeting the needs people with disabilities. However, there are significant potential obstacles to actually realizing the benefits of these advances for people with disabilities.', 'doi': '10.1145/1878803.1878805', 'url': 'https://doi.org/10.1145/1878803.1878805', 'address': 'New York, NY, USA', 'publisher': 'Association for Computing Machinery', 'isbn': '9781605588810', 'year': '2010', 'title': 'The future of assistive technologies: a time of promise and apprehension', 'author': 'Cook, Albert M.', 'ENTRYTYPE': 'inproceedings', 'ID': '10.1145/1878803.1878805'}"
Session details: Considering accessibility,10.1145/3252137,Abstract not available,"{'series': ""ASSETS '10"", 'location': 'Orlando, Florida, USA', 'booktitle': 'Proceedings of the 12th International ACM SIGACCESS Conference on Computers and Accessibility', 'doi': '10.1145/3252137', 'url': 'https://doi.org/10.1145/3252137', 'address': 'New York, NY, USA', 'publisher': 'Association for Computing Machinery', 'isbn': '9781605588810', 'year': '2010', 'title': 'Session details: Considering accessibility', 'author': 'Lewis, Clayton', 'ENTRYTYPE': 'inproceedings', 'ID': '10.1145/3252137'}"
Disability studies as a source of critical inquiry for the field of assistive technology,10.1145/1878803.1878807,"Disability studies and assistive technology are two related fields that have long shared common goals - understanding the experience of disability and identifying and addressing relevant issues. Despite these common goals, there are some important differences in what professionals in these fields consider problems, perhaps related to the lack of connection between the fields. To help bridge this gap, we review some of the key literature in disability studies. We present case studies of two research projects in assistive technology and discuss how the field of disability studies influenced that work, led us to identify new or different problems relevant to the field of assistive technology, and helped us to think in new ways about the research process and its impact on the experiences of individuals who live with disability. We also discuss how the field of disability studies has influenced our teaching and highlight some of the key publications and publication venues from which our community may want to draw more deeply in the future.","{'series': ""ASSETS '10"", 'location': 'Orlando, Florida, USA', 'keywords': 'assistive technology, disability studies', 'numpages': '8', 'pages': '3–10', 'booktitle': 'Proceedings of the 12th International ACM SIGACCESS Conference on Computers and Accessibility', 'abstract': 'Disability studies and assistive technology are two related fields that have long shared common goals - understanding the experience of disability and identifying and addressing relevant issues. Despite these common goals, there are some important differences in what professionals in these fields consider problems, perhaps related to the lack of connection between the fields. To help bridge this gap, we review some of the key literature in disability studies. We present case studies of two research projects in assistive technology and discuss how the field of disability studies influenced that work, led us to identify new or different problems relevant to the field of assistive technology, and helped us to think in new ways about the research process and its impact on the experiences of individuals who live with disability. We also discuss how the field of disability studies has influenced our teaching and highlight some of the key publications and publication venues from which our community may want to draw more deeply in the future.', 'doi': '10.1145/1878803.1878807', 'url': 'https://doi.org/10.1145/1878803.1878807', 'address': 'New York, NY, USA', 'publisher': 'Association for Computing Machinery', 'isbn': '9781605588810', 'year': '2010', 'title': 'Disability studies as a source of critical inquiry for the field of assistive technology', 'author': 'Mankoff, Jennifer and Hayes, Gillian R. and Kasnitz, Devva', 'ENTRYTYPE': 'inproceedings', 'ID': '10.1145/1878803.1878807'}"
"A general education course on universal access, disability, technology and society",10.1145/1878803.1878808,"This paper reports on a General Education course called ""Universal Access: Disability, Technology and Society"" that enables students from all majors to learn more about disability and the issues that surround it, as well as how Assistive Technology facilitates effective participation of those with disabilities in society. Guest lectures, meant to give the students different perspectives on disability, are integral part of the course. Guest lecturers include experts in disability studies, professionals working with people with disabilities, and persons with disability. To gain practical knowledge, the students carry out group projects or volunteering activities that involves people with disabilities. Since its first introduction in 2006, the course had always filled to capacity. A survey with 75 students conducted in Winter 2010 revealed that students felt that their knowledge about universal access and disabilities had improved significantly, and that they had become aware of accessibility in everyday life.","{'series': ""ASSETS '10"", 'location': 'Orlando, Florida, USA', 'keywords': 'disability awareness, general education, undergraduate education, universal access', 'numpages': '8', 'pages': '11–18', 'booktitle': 'Proceedings of the 12th International ACM SIGACCESS Conference on Computers and Accessibility', 'abstract': 'This paper reports on a General Education course called ""Universal Access: Disability, Technology and Society"" that enables students from all majors to learn more about disability and the issues that surround it, as well as how Assistive Technology facilitates effective participation of those with disabilities in society. Guest lectures, meant to give the students different perspectives on disability, are integral part of the course. Guest lecturers include experts in disability studies, professionals working with people with disabilities, and persons with disability. To gain practical knowledge, the students carry out group projects or volunteering activities that involves people with disabilities. Since its first introduction in 2006, the course had always filled to capacity. A survey with 75 students conducted in Winter 2010 revealed that students felt that their knowledge about universal access and disabilities had improved significantly, and that they had become aware of accessibility in everyday life.', 'doi': '10.1145/1878803.1878808', 'url': 'https://doi.org/10.1145/1878803.1878808', 'address': 'New York, NY, USA', 'publisher': 'Association for Computing Machinery', 'isbn': '9781605588810', 'year': '2010', 'title': 'A general education course on universal access, disability, technology and society', 'author': 'Kurniawan, Sri H. and Arteaga, Sonia and Manduchi, Roberto', 'ENTRYTYPE': 'inproceedings', 'ID': '10.1145/1878803.1878808'}"
Towards accessible touch interfaces,10.1145/1878803.1878809,"Touch screen mobile devices bear the promise of endless leisure, communication, and productivity opportunities to motor-impaired people. Indeed, users with residual capacities in their upper extremities could benefit immensely from a device with no demands regarding strength. However, the precision required to effectively select a target without physical cues creates problems to people with limited motor abilities. Our goal is to thoroughly study mobile touch screen interfaces, their characteristics and parameterizations, thus providing the tools for informed interface design for motor-impaired users. We present an evaluation performed with 15 tetraplegic people that allowed us to understand the factors limiting user performance within a comprehensive set of interaction techniques (Tapping, Crossing, Exiting and Directional Gesturing) and parameterizations (Position, Size and Direction). Our results show that for each technique, accuracy and precision vary across different areas of the screen and directions, in a way that is directly dependent on target size. Overall, Tapping was both the preferred technique and among the most effective. This proves that it is possible to design inclusive unified interfaces for motor-impaired and able-bodied users once the correct parameterization or adaptability is assured.","{'series': ""ASSETS '10"", 'location': 'Orlando, Florida, USA', 'keywords': 'evaluation, interaction techniques, mobile device, tetraplegic, touch screen', 'numpages': '8', 'pages': '19–26', 'booktitle': 'Proceedings of the 12th International ACM SIGACCESS Conference on Computers and Accessibility', 'abstract': 'Touch screen mobile devices bear the promise of endless leisure, communication, and productivity opportunities to motor-impaired people. Indeed, users with residual capacities in their upper extremities could benefit immensely from a device with no demands regarding strength. However, the precision required to effectively select a target without physical cues creates problems to people with limited motor abilities. Our goal is to thoroughly study mobile touch screen interfaces, their characteristics and parameterizations, thus providing the tools for informed interface design for motor-impaired users. We present an evaluation performed with 15 tetraplegic people that allowed us to understand the factors limiting user performance within a comprehensive set of interaction techniques (Tapping, Crossing, Exiting and Directional Gesturing) and parameterizations (Position, Size and Direction). Our results show that for each technique, accuracy and precision vary across different areas of the screen and directions, in a way that is directly dependent on target size. Overall, Tapping was both the preferred technique and among the most effective. This proves that it is possible to design inclusive unified interfaces for motor-impaired and able-bodied users once the correct parameterization or adaptability is assured.', 'doi': '10.1145/1878803.1878809', 'url': 'https://doi.org/10.1145/1878803.1878809', 'address': 'New York, NY, USA', 'publisher': 'Association for Computing Machinery', 'isbn': '9781605588810', 'year': '2010', 'title': 'Towards accessible touch interfaces', 'author': 'Guerreiro, Tiago and Nicolau, Hugo and Jorge, Joaquim and Gon\\c{c}alves, Daniel', 'ENTRYTYPE': 'inproceedings', 'ID': '10.1145/1878803.1878809'}"
Session details: Evaluating accessibility,10.1145/3252138,Abstract not available,"{'series': ""ASSETS '10"", 'location': 'Orlando, Florida, USA', 'booktitle': 'Proceedings of the 12th International ACM SIGACCESS Conference on Computers and Accessibility', 'doi': '10.1145/3252138', 'url': 'https://doi.org/10.1145/3252138', 'address': 'New York, NY, USA', 'publisher': 'Association for Computing Machinery', 'isbn': '9781605588810', 'year': '2010', 'title': 'Session details: Evaluating accessibility', 'author': 'Sanchez, Jaime', 'ENTRYTYPE': 'inproceedings', 'ID': '10.1145/3252138'}"
Towards a tool for keystroke level modeling of skilled screen reading,10.1145/1878803.1878811,"Designers often have no access to individuals who use screen reading software, and may have little understanding of how their design choices impact these users. We explore here whether cog-nitive models of auditory interaction could provide insight into screen reader usability. By comparing human data with a tool-generated model of a practiced task performed using a screen reader, we identify several requirements for such models and tools. Most important is the need to represent parallel execution of hearing with thinking and acting. Rules for placement of cogni-tive operators that were developed for visual user interfaces may not be applicable in the auditory domain. Other mismatches be-tween the data and the model were attributed to the extremely fast listening rate and differences between the typing patterns of screen reader usage and the model's assumptions. This work in-forms the development of more accurate models of auditory inter-action. Tools incorporating such models could help designers create user interfaces that are well tuned for screen reader users, without the need for modeling expertise.","{'series': ""ASSETS '10"", 'location': 'Orlando, Florida, USA', 'keywords': 'accessibility, keyboard navigation, klm, screen reader, usability', 'numpages': '8', 'pages': '27–34', 'booktitle': 'Proceedings of the 12th International ACM SIGACCESS Conference on Computers and Accessibility', 'abstract': ""Designers often have no access to individuals who use screen reading software, and may have little understanding of how their design choices impact these users. We explore here whether cog-nitive models of auditory interaction could provide insight into screen reader usability. By comparing human data with a tool-generated model of a practiced task performed using a screen reader, we identify several requirements for such models and tools. Most important is the need to represent parallel execution of hearing with thinking and acting. Rules for placement of cogni-tive operators that were developed for visual user interfaces may not be applicable in the auditory domain. Other mismatches be-tween the data and the model were attributed to the extremely fast listening rate and differences between the typing patterns of screen reader usage and the model's assumptions. This work in-forms the development of more accurate models of auditory inter-action. Tools incorporating such models could help designers create user interfaces that are well tuned for screen reader users, without the need for modeling expertise."", 'doi': '10.1145/1878803.1878811', 'url': 'https://doi.org/10.1145/1878803.1878811', 'address': 'New York, NY, USA', 'publisher': 'Association for Computing Machinery', 'isbn': '9781605588810', 'year': '2010', 'title': 'Towards a tool for keystroke level modeling of skilled screen reading', 'author': 'Trewin, Shari and John, Bonnie E. and Richards, John and Swart, Cal and Brezin, Jonathan and Bellamy, Rachel and Thomas, John', 'ENTRYTYPE': 'inproceedings', 'ID': '10.1145/1878803.1878811'}"
Accessibility by demonstration: enabling end users to guide developers to web accessibility solutions,10.1145/1878803.1878812,"Few web developers have been explicitly trained to create accessible web pages, and are unlikely to recognize subtle accessibility and usability concerns that disabled people face. Evaluating web pages with assistive technology can reveal problems, but this software takes time to install and its complexity can be overwhelming. To address these problems, we introduce a new approach for accessibility evaluation called Accessibility by Demonstration (ABD). ABD lets assistive technology users retroactively record accessibility problems at the time they experience them as human-readable macros and easily send those recordings and the software necessary to replay them to others. This paper describes an implementation of ABD as an extension to the WebAnywhere screen reader, and presents an evaluation with 15 web developers not experienced with accessibility showing that interacting with these recordings helped them understand and fix some subtle accessibility problems better than existing tools.","{'series': ""ASSETS '10"", 'location': 'Orlando, Florida, USA', 'keywords': 'blind users, evaluation, web accessibility, web usability', 'numpages': '8', 'pages': '35–42', 'booktitle': 'Proceedings of the 12th International ACM SIGACCESS Conference on Computers and Accessibility', 'abstract': 'Few web developers have been explicitly trained to create accessible web pages, and are unlikely to recognize subtle accessibility and usability concerns that disabled people face. Evaluating web pages with assistive technology can reveal problems, but this software takes time to install and its complexity can be overwhelming. To address these problems, we introduce a new approach for accessibility evaluation called Accessibility by Demonstration (ABD). ABD lets assistive technology users retroactively record accessibility problems at the time they experience them as human-readable macros and easily send those recordings and the software necessary to replay them to others. This paper describes an implementation of ABD as an extension to the WebAnywhere screen reader, and presents an evaluation with 15 web developers not experienced with accessibility showing that interacting with these recordings helped them understand and fix some subtle accessibility problems better than existing tools.', 'doi': '10.1145/1878803.1878812', 'url': 'https://doi.org/10.1145/1878803.1878812', 'address': 'New York, NY, USA', 'publisher': 'Association for Computing Machinery', 'isbn': '9781605588810', 'year': '2010', 'title': 'Accessibility by demonstration: enabling end users to guide developers to web accessibility solutions', 'author': 'Bigham, Jeffrey P. and Brudvik, Jeremy T. and Zhang, Bernie', 'ENTRYTYPE': 'inproceedings', 'ID': '10.1145/1878803.1878812'}"
Testability and validity of WCAG 2.0: the expertise effect,10.1145/1878803.1878813,"Web Content Accessibility Guidelines 2.0 (WCAG 2.0) require that success criteria be tested by human inspection. Further, testability of WCAG 2.0 criteria is achieved if 80\% of knowledgeable inspectors agree that the criteria has been met or not. In this paper we investigate the very core WCAG 2.0, being their ability to determine web content accessibility conformance. We conducted an empirical study to ascertain the testability of WCAG 2.0 success criteria when experts and non-experts evaluated four relatively complex web pages; and the differences between the two. Further, we discuss the validity of the evaluations generated by these inspectors and look at the differences in validity due to expertise.In summary, our study, comprising 22 experts and 27 non-experts, shows that approximately 50\% of success criteria fail to meet the 80\% agreement threshold; experts produce 20\% false positives and miss 32\% of the true problems. We also compared the performance of experts against that of non-experts and found that agreement for the non-experts dropped by 6\%, false positives reach 42\% and false negatives 49\%. This suggests that in many cases WCAG 2.0 conformance cannot be tested by human inspection to a level where it is believed that at least 80\% of knowledgeable human evaluators would agree on the conclusion. Why experts fail to meet the 80\% threshold and what can be done to help achieve this level are the subjects of further investigation.","{'series': ""ASSETS '10"", 'location': 'Orlando, Florida, USA', 'keywords': 'evaluation, expertise, guideline, web accessibility', 'numpages': '8', 'pages': '43–50', 'booktitle': 'Proceedings of the 12th International ACM SIGACCESS Conference on Computers and Accessibility', 'abstract': 'Web Content Accessibility Guidelines 2.0 (WCAG 2.0) require that success criteria be tested by human inspection. Further, testability of WCAG 2.0 criteria is achieved if 80\\% of knowledgeable inspectors agree that the criteria has been met or not. In this paper we investigate the very core WCAG 2.0, being their ability to determine web content accessibility conformance. We conducted an empirical study to ascertain the testability of WCAG 2.0 success criteria when experts and non-experts evaluated four relatively complex web pages; and the differences between the two. Further, we discuss the validity of the evaluations generated by these inspectors and look at the differences in validity due to expertise.In summary, our study, comprising 22 experts and 27 non-experts, shows that approximately 50\\% of success criteria fail to meet the 80\\% agreement threshold; experts produce 20\\% false positives and miss 32\\% of the true problems. We also compared the performance of experts against that of non-experts and found that agreement for the non-experts dropped by 6\\%, false positives reach 42\\% and false negatives 49\\%. This suggests that in many cases WCAG 2.0 conformance cannot be tested by human inspection to a level where it is believed that at least 80\\% of knowledgeable human evaluators would agree on the conclusion. Why experts fail to meet the 80\\% threshold and what can be done to help achieve this level are the subjects of further investigation.', 'doi': '10.1145/1878803.1878813', 'url': 'https://doi.org/10.1145/1878803.1878813', 'address': 'New York, NY, USA', 'publisher': 'Association for Computing Machinery', 'isbn': '9781605588810', 'year': '2010', 'title': 'Testability and validity of WCAG 2.0: the expertise effect', 'author': 'Brajnik, Giorgio and Yesilada, Yeliz and Harper, Simon', 'ENTRYTYPE': 'inproceedings', 'ID': '10.1145/1878803.1878813'}"
